"Tweets","Duygu",""
" rusya da covid vakaları hızla artıyor turizm sezonu açılınca rusya dan  hiç turist alınmamalı  ","1",""
" koronavirüs nedeniyle turizm sektörü sıkıntılı günler geçirse de yavaş yavaş normalleşme adımları atılmaya başlanıyor","2",""
" rusya devleti kendi vatandaşlarına ülkeyi terk etmeyin tatil için rusya içinde kalın ulaşım ve fiyat konularında tüm kolaylıklar sağlanacağı garantisini verdi","0",""
"italya dışişleri bakanı haziran avrupa da turizm için kurtuluş günü olacağını idda etti","0",""
" klaus schmidt den sonraki döneme ait bilgilere tam olarak hakim değiliz  ","1",""
" turizm bakanlığının israil in yeni turizm bakanı ile görüşmesi halinde türkiye yi de seyahat edilebileceklerini bildirdi ","0",""
" bizleri ya salin ya öldürün yeter bu iskence ceza herkese bi kolaylik var bize neden yok ","1",""
" uçak şirketi ve ets tur un sahibi turizm bakanı medipol hastaneleri nin sahibi sağlık bakanı maya okullarının sahibi meb bakanı ne güzel şirket değilmi","1",""
" turizm bakanlığının manavgat kızılağaç kum mevki bölgesindeki yaptığı planlamayla kentin sahil ile bağlantısı kapatılıyor ","1",""
" turizm canlansin diye her turlu kolayligi sagliyorsun bizleri de düşünün ","1",""
" hiçbir şey olmasa da kesin bir şeyler olmuş sandıklar bir daha sayılmalı turizm canlanmalı ","1",""
" pandemi en başta hizmet sektörünü çok ağır bir şekilde vurdu  ","1",""
"pamukkale turizm seferleri başlıyor ","0",""
" ilgili belediyelerin sosyal medya yönetimleri sıfır türkçe bilgileri zaten yok ha ","1",""
" haziran avrupa da turizm için kurtuluş günü ","2",""
" manavgat a golf sahası değil yat limani ve yat çekek ve imalati ihtisas edilmeli artık","1",""
"alanya da turizm için kötü haber ","1",""
"son yılda türkiye tarihinin ve dünyanın en iyi ulaşım başarısına en iyi turizm başarısına sahip olabiliriz","2",""
" ktv de türkiye nin turizm geleceğini konuşuyoruz yoğun istek üzerine tekrarı yayınlanıyor bence kaçırmayın ","2",""
" imamoglu başkan seni listeye almamışlar kültür ve turizm bakanlığı ve tatil en çok sana yakışıyor   ","2",""
"kapadokya da ki aziz jean kilisesi çok şey anlatıyor  ","0",""
"fıjet başkanı tijani haddad ile uluslararası turizm ve covid sohbetileri ","0",""
" zumi için bu süreç bir şans doğa öko ve slow turizm gibi ","2",""
"nasıl önemi yok ama lafla peynir gemisi yürüyebilecek mi maliyetlere etkisi ne olacak   ","1",""
"büyükşehir den turizm atağı ","2",""
" turizm patlaması yaşanacak kesin şaka lan şaka ne patlaması yandaş firma restorasyon cukkası kaldıracak sadece ","1",""
" haber kanallarında plajlar oteller tüm ihtişamıyla gösteriliyor ancak o ihtişamı yaratanların ne adını biliyorlar ne de emeğini","1",""
"havayolu ve turizm şirket hisseleri tavan yaptı","2",""
"koronavirüs nedeniyle turizm sektörü sıkıntılı günler geçirse de yavaş yavaş normalleşme adımları atılmaya başlandı ","2",""
"ortamlarda eskort kızları doldurup grup seks yapan ama twitter da dinci rolü yapan siyasilerin varlığından yeni haberdar olan insanları görüyorum","1",""
"muhteşem erciyes ve turizm merkezi kayseri erciyesimizin bulutlarla dansı ","2",""
"ulaştırma ve altyapı bakanı adil karaismailoğlu yeni tip koronavirüs kovid salgını nedeniyle mart ayında durdurulan uçak seferlerinin haziran da yeniden başlayacağını bildirdi   ","0",""
" milli park ve tabiat parkı haziran da ziyarete açılacak  ","0",""
" selamlar pazartesi plajlar halka açılıyorşu an bitez halk plajındayım belediye olarak hiçbir hazırlık göremedim kumsal ot çöp pislik içindebir günde sihirli değnek mi varfotoğraf paylaşmaya utandım ","1",""
"sektör temsilcilerinden turizm bakanlığına turist bilgilendirme çağrısı  ","0",""
"sertifikasyonlu turizm tesislerinde pandemiden uzak güvenli ortam sağlanacak dünyada ilk kez yapılan bu sistem çerçevesinde konuklarımızı ağırlayıp salimen ülkelerine göndereceğiz bakan yardımcımızın röportajı ","2",""
" haziran pazartesi günün den itibaren yunanistan vize başvuruları izmir den kabul edilmeye başlıyor seyahat tarihleri ağustos den sonrası için planlanmalı  ","0",""
"postcovid için kayıplara değil fırsatlara odaklanmak turizm in sadece gezmek görmek olmadığı çok daha kapsamlı bir ifadeyle ziyaretçi ekonomisi olduğu ve ekonomik sosyal kültürel hayatımızda derin izlerinin bulunduğu bilinci yerleşti sektörün bunu değerlendirmesi  lazım","0",""
"türk hava yolları haziran da bazı yurtdışı seferlerine yeniden başlayacak bu ülkelerden bir tanesi çin  ","2",""
"alanyali turizmciler sertifika için ne kadar ödeyecek  ","0",""
"turizm rus turistlerin tercihi yine türkiye rus tatilcilerin turizm ajansının sitesinde bu ay yaptıkları tatil aramalarında yüzde lük payla türkiye açık ara birinci oldu ","2",""
"türkiye kaldığı yerden devam ediyor başarıyla geride bırakılan pandemi sürecinden sonra turizm sektörü yeniden başlıyor müze ve ören yerlerimiz sizleri bekliyor ","2",""
"vangölü güneyi dağları doğa turizmine yönelik çok farklı alternatifler sunuyor demedi demeyin  ","2",""
"rusya dan turizmciyi sevindiren haber ","2",""
"tui temmuz a kadar yurt dışına turist götürmeyi erteledi","1",""
"yunanistan haziran da turizme açılıyor açıklanan ülkelik listede türkiye hariç tüm komşular için ülkeye giriş izni var ","1",""
"ruslar tatil planı yapıyor türkiye açık ara birinci   ","2",""
" gökçeada imroz merkez de haziran da açılıyor haftasonu turizm sezonu açıldı ","2",""
"covid virüsü kaynaklı salgının şehrimizin turizmi üzerinde yarattığı olumsuzlukları minimize etmek ve bir yol haritası belirlemek üzere valimiz büyükşehir belediye başkanımız milletvekillerimiz ve elbette turizm temsilcilerimizle çok verimli bir toplantı gerçekleştirdik ","2",""
"güzelliğine güzellik katacak elazığ ın teşekkürler elazığ ","2",""
"covid sürecinden sonra türkiye saglık turizm konusunda ciddi adımlar atmalı son dönemde büyük bir sınavı atlattık turizm gelirlerinin azalacağı dönemde çok ciddi bir katkı sağlayabilir turist başı harcama ortalama seviyesinde sağlık turizmi ile cok artabilir ","2",""
" mavi bayrakta türkiye lideri ","2",""
"şifalı sularıyla ünlü zenginlerin uğrak yeri olan turizm köyü satılığa çıkarıldı","0",""
"yunanistan türk turist kabul etmiyormuş e gasp ettikleri ege adalarına mültecileri yerleştirseler bari ","1",""
"istanbul un fethi nin yılı kutlu aziz şehitlerimizin mekanı cennet olsun ","2",""
"yapılan araştırmalara göre rus turistlerin yüzde ı türkiye de tatil yapmayı planlıyor  ","0",""
"yunanistan dan hızlı turizm hamlesi yunanistan haziran dan itibaren ülkeden turist kabul edeceğini açıkladı liste temmuzda yenilenecekmiş açıklanan ülkeler arasında ise komşu türkiye yer almıyor neden ","1",""
"rusya dan rus turiste türkiye yolunu açan açıklama antalya ses gazetesi   ","2",""
"turizm sonunda açılıyor mutluyum mutlu olun turizm","2",""
"mardin de türbinli rüzgar santrali kurulacak","0",""
"sayın bakan albayrak yeni eko pakette turizm destek açıklaması var turizm için özel krediler açıklanacak vatandaşa ","2",""
"trip com grubu yılının ilk üç ayına ait finansal verileri basınla paylaştı","0",""
"türkiye büyük fırsatları kaçırıyor gibi geliyor bu aralar maske satışına kısıtlama koyulmuş büyük ticari gelir kaçırılmıştır tr tekstil sektörü içeri ve dışarıyı besleyecek kapasitededir turizm konusunda da hala öncelik verilecek ülkeler açıklanmadı ölüm ve vaka sayıları","1",""
"bir kadına saldırmışlardı mahalleli tedirgin sokak köpekleri dehşet saçıyor burası yenişehir palmiye ve lifa siteleri civarı ","1",""
"turizmde yaşanan daralmanın önüne geçmek için alternatif pazar kanalları yaratılmalı","0",""
"mahalle sakinlerinden belediyeye ve doğalgaz firmasına doğalgaz tepkisi","1",""
"turizm sezonu açılış belirsizliği türk turizminini vurabilir dogrusu ","1",""
"bodrum modern otogarına kavuşuyor","2",""
"bugün çok mutlu olmalıyız çünkü güvercin adamızın kalesi unesco dünya mirası geçici listesinde ","2",""
"bu sezon dan umudunu kesen tek ben miyim  ","1",""
"tarihi ankara kalesi sokaklari hayat bulacak ","2",""
"görünmeyen inciraltı ndan turizm bakanına davet var ","0",""
"easyjet dün yaptığı basın açıklamasında covid krizi nedeniyle düşen talep neticesinde maliyet önlemi olarak mevcut filosunda ve işgücünde tasarrufa gideceğini duyurdu ","1",""
"alanya turistik işletmeciler derneği başkanı burhan sili sağlık ve hijyen standartları misafirlerimizin tatil seçiminde eskisinden daha fazla önem taşıyacak dedi ","2",""
"katid otellere hijyen eğitimi verecek","0",""
"turizm i açalım en azından yerli turist gelsin diyoruzda kimin tatil için maddi manevi gücü kaldı yerli aşı ve ilaç bulma işine yüklenelim şimdilik mesafe maske musluk tek çözüm aşı ","1",""
"baraj gölündeki minareye kayıkla ulaşıyorlar","0",""
"avrupa birligi sene sonuna kadar ulke ab ulkeleri disinda diger ulkelere cikisi yasakladi avrupadan turist bekleyen isletmeler bu sene iflasin esigindeler avrupa ulkeleri turizm gelirlerini bu yasakla tedavi edicek","1",""
"ilk sağlıklı turizm belgesi antalya ya verildi ","2",""
"matt hancock ingilizlerin yurt dışına tatile gidebileceklerini duyurdu şimdi türkiye yunanistan italya ispanya turist kapma savaşları başlayacak elini çabuk tutan kazanır  ","0",""
"en çok turistin geldiği ülkeleri gösteren harita turkiye  ","2",""
"turizm esnafıyım vergi afı bekliyorum hacizlerin kaldırılması bize nefes aldırır boğuluyoruzz","1",""
"fitness salonları haziran dan itibaren sosyal mesafe ve triaj kurallarına uygun olarak açılacak öncelikli olarak ağırlık malzemeleri ardından aerobik bölümü hizmete açılacak","0",""
"turizm işçileri yunanistan da ayaklanmış turizm bu sene kayıp ","1",""
"çeşme otelcileri türob a üye oldu","0",""
" şehirlerarası seyahatlerde dilekçe gerekmiyecek açık havada temas gerektirmeyen spor yarışmaları seyircisiz yapılacak","0",""
"türkiye ve dünya turizmi hakkında kilit bilgiler içeren güzel bir yazı olmuş ","2",""
"gurur duyduğumuz bir güncellemeyi sizlerle paylaşmak isterim turizm iyileşeceğiz","2",""
"cumhurbaşkanı recep tayyip erdoğan kabine toplantısı sonrası yaptığı açıklamayla ilde uygulanan şehirlerarası seyahat yasağının haziran itibariyle kaldırılacağını duyurdu","2",""
"avrupa nın en büyük tur operatörlerinden tui nin britanya kolu tui uk tatil operasyonlarını temmuz a kadar ertelediğini ve haziran a kadar tüm rezervasyonları iptal ettiğini duyurdu","1",""
"turizm tuzu kuru olanlarda hep aynı laf aman normalleşelim turizm e bir şey olmasın diye dalga geçiyorlar ama biz turizmciler aydır çalışmıyoruz yani cebimize kuruş girmiyor","1",""
"gökyüzünden mardine yükseliyoruz ","2",""
"konyaaltı sahilinde sosyal mesafeli tatil düzenlemesi ","0",""
"kültür ve turizm bakanı ersoy otellerin yüzde sini açabilirsek iyi olacağını düşünüyorum  ","2",""
"urfa erkeği milattan önce neyse milattan sonra da odur uzanıp ense yapmak ruhumuzda var ","0",""
"şehirlerarası seyahat sınırlaması kaldırılıyor ","2",""
"cumhurbaşkanı erdoğan plajlar milli parklar ve bahçeler belirlenen kurallar dahilinde hazarin itibariyle faaliyet geçecek ","2",""
"vanın kimliği turizm olsun yüzlerce turistik mekanımız var bir yerden başlayalım    samimiyetinizi gösterin ","2",""
"türk hava yolları bugün kamuoyu aydınlatma platformu na gönderdiği açıklamayla yılının birinci çeyreğine ait finansal verilerini paylaştı","0",""
"turizm tedbirleri alinmis goruntu yildizli otel robotlu falan yani tatil virutik nedenlerle de yine zengine kısmet o tedbirleri kucuk isletme nasil alsin ","1",""
" gastronomi başkenti gaziantep ","0",""
" belgeli tesisler ön plana çıkacak ","0",""
"expedia group bugün yaptığı açıklamayla iş ortaklarına yardımcı olmak için milyon dolar lık bir kaynak ayırdığını duyurdu paketin milyon dolarlık kısmı otelciler için ayrıldı","0",""
"sondakika ukrayna ya uluslararası uçuşlar yeniden başlıyor","0",""
"işte kızıltepe de cuma namazı kılınabilecek cami ve mekan bilgileri   ","0",""
"otobüslerde ve trenlerde sosyal mesafe var uçaklarda yok ","1",""
"son dakika bakan açıkladı haziran da başlıyor","0",""
"geçtiğimiz günlerde milyon müşterinin bilgilerinin bir siber saldırıyla usulsüz olarak ele geçirildiğini duyuran easyjet verileri çalınan müşteriler tarafından dava ediliyor ","1",""
"gazipaşa yaz sezonuna hazırlanıyor","0",""
"bildiğiniz bütün kutu oyunlarını unutun çok yakında biz geliyoruz","2",""
"uçak kazalarıyla gündeme gelen boeing max ın üretimi yeniden başladı  ","2",""
"salgın süresinde nefes aldıracak ekoturizm rotası  ","2",""
"turizmciler yeni tip koronavirüs kovid normalleşme süreci kapsamında açılacak turizm sezonunda misafirlerini ağırlamayı bekliyor ","0",""
" tüm dünyanın gözü antalya da olacaktı fırsat kaçtı  ","1",""
"kararı için türkiye deki koşullara bakacağız ","0",""
"antalya da kapalı olan oteller sezonuna hazır  ","2",""
" verilerinin yer aldığı dünya turizm örgütü unwto mayıs barometresi açıkladı ","0",""
"antalya da sosyal mesafeli plaj uygulaması başlıyor","0",""
"haziran da yelken açacaklar ","0",""
"almanya seyahat yasağını tekrar gözden geçirecek","2",""
"gyo lar ve turizm hareketli olur mu bugün acaba ","0",""
"yasaklar her zaman zararlıdır burnumuzun dibindeki adaları göremeyenler var kaldıki ülkemiz yunanlılara göre çok ucuz çok rahatsız olsamda ticaret hareketliliği olur lehimize  ","2",""
"ispanya da temmuz dan itibaren yurt dışından gelen turistlere günlük karantina uygulanmayacak","2",""
"japonya seyahat acentelerinden tatil satın alan vatandaşlarına günlük bin yen destek vereceğini açıkladı destek dediğin böyle olur biz havanda su dövmeye devam ediyoruz turizm","1",""
"yaz ayları yaklaşırken pandemi ye karşı turizm sektöründe ne gibi tedbirler alınacak  ","0",""
"mak danışmanlık son verileri açıkladı sonuçlar çok vahim ","1",""
" topaloğlu kemer şu anda turizm sezonuna hazır biz hem yerli hem yabancı misafirlerimizi kemer e bekliyoruz","0",""
"havayolu taşımacılığının tekrar başlamasına kısa bir süre kala turizm bakanlığı sağlık bakanlığı koordinasyonunda havaalanlarında uygulanacak covid tedbirleriyle ilgili bir sertifikasyon genelgesi yayımladı","0",""
"güney kıbrıs tatil sonrası koronavirüse yakalananların masraflarını karşılayacak","2",""
"bm dünya turizm örgütü istanbul doha ve dubai salgın sonrasında turizmde pilot projelerin lideri olacak","2",""
"çeşme turizm sezonuna hazırlandı","2",""
"turizm esnafıyım vergi afı bekliyorum hacizlerin kaldırılması bize nefes aldırır boğuluyoruzz ","1",""
"antalya belediye turizm çalgı çengiyi şişirmek için kullanmasını bilmediğiniz konuşamadığınız yazamadığınız dille ki artık dili de kullanmıyorsunuz osuruktan teyyare işleri şişireceğiz diye kıvranmayın cehalet paçalarınızdan akıyor ","1",""
"işte konyaaltı sahili nin yeni düzeni ","0",""
"berlin de turizmciler sokaklara indi ","1",""
"ekonomik zorluk içindeki alman acentalar eylemlere devam ediyor ","1",""
"turizmi canlandırmak için vatandaşlara para verecekler","2",""
"koronavirüsün dünya turizmine olumsuz etkileri devam ederken dev şirketlerden iflas ve kapatma haberleri geliyor","1",""
"ntv de lü ve li şezlonglar yalnızca ailelere verilecek diye bir haber izledim az evvel garip değil mi sizce de insanların tatile kimlerle birlikte gideceğine karışmak gibi birşey bu ya yasaklarsın ya açarsın bir gariplik var bu pandemi düzenlemelerinde","1",""
"hollandalı gezgin youtuber van dan geçerse ne olur urartular elbette bir başkadır cana yakın ve misafirperverlikte yine kendini kanıtladı","2",""
"abdullah tunçdemir den iran pazarı değerlendirmesi  ","0",""
" genel müdürü  emitt nin tanıtım faaliyetlerine katkısını anlattı","0",""
"kızılay dan devlet hastanesine hijyen paketi desteği ","2",""
"hem iş hem dostluk pandemi döneminde rafting ve turizm geleceğine dair aa anadoluajansi çekimlerimizin ardından keyf semaverdeçay keyfi doğa ","2",""
"antalya belediye turizm kurumlar kişilerle yönetilmez akılla yönetilir akıl yoksa bugünlerin de gelip geçeceğini bilmeden havai fişek atıp çalgı çengi yapmayı bir maharet zanneder etrafında gerdan kırarsınız ","1",""
