Tweets,"Duygu",""
ingiltere almanya fransa ile turizm dörtlü toplant ıs ı yapt ık bakan çavuşoğlu aç ıklad ı,"0",""
uçuş iptalleri oteller için iyi haber değil rusya ve almanya hava koridoru aç ılmad ığ ı sürece turizm sezonu bitik,"1",""
italya d ışişleri bakan ı di maio haziran avrupa da turizm için kurtuluş günüdür dedi,"2",""
 japonya turizm ajans ı temmuz ay ı itibariyle ülkeyi ziyaret edecek olan turistlerin harcamalar ın ın yar ıs ın ın devlet taraf ından karş ılanacağ ın ı bildirdi ,"0",""
 turkey kültür ve turizm bakan yard ımc ım ız sn tr ramazan da yaklaş ık ülkeye türkiye nin yard ımlar ın ı ulaşt ı ,"0",""
ingiltere almanya fransa ile turizm dörtlü toplant ıs ı yapt ık bakan çavuşoğlu aç ıklad ı ,"0",""
almanya ülkeye seyahat yasağ ın ı kald ır ıyor ilk listede türkiye yok    ,"0",""
 döviz ve alt ın al ım ına vergi koyup valör getiren işsizlik say ıs ı artan covid yüzünden tabii ki ,"1",""
 ilerleyen günlerde ele al ınabilecekler konulardan bir tanesi de turizm pandemi sonras ı ekolojik turizm ,"0",""
 arabas ı var liral ık yard ım ın peşinden koşturuyor ,"1",""
 rusya da covid vakalar ı h ızla art ıyor turizm sezonu aç ıl ınca rusya dan  hiç turist al ınmamal ı  ,"1",""
 koronavirüs nedeniyle turizm sektörü s ık ınt ıl ı günler geçirse de yavaş yavaş normalleşme ad ımlar ı at ılmaya başlan ıyor,"2",""
 rusya devleti kendi vatandaşlar ına ülkeyi terk etmeyin tatil için rusya içinde kal ın ulaş ım ve fiyat konular ında tüm kolayl ıklar sağlanacağ ı garantisini verdi,"0",""
italya d ışişleri bakan ı haziran avrupa da turizm için kurtuluş günü olacağ ın ı idda etti,"0",""
 klaus schmidt den sonraki döneme ait bilgilere tam olarak hakim değiliz  ,"1",""
 turizm bakanl ığ ın ın israil in yeni turizm bakan ı ile görüşmesi halinde türkiye yi de seyahat edilebileceklerini bildirdi ,"0",""
 bizleri ya salin ya öldürün yeter bu iskence ceza herkese bi kolaylik var bize neden yok ,"1",""
 uçak şirketi ve ets tur un sahibi turizm bakan ı medipol hastaneleri nin sahibi sağl ık bakan ı maya okullar ın ın sahibi meb bakan ı ne güzel şirket değilmi,"1",""
 turizm bakanl ığ ın ın manavgat k ız ılağaç kum mevki bölgesindeki yapt ığ ı planlamayla kentin sahil ile bağlant ıs ı kapat ıl ıyor ,"1",""
 turizm canlansin diye her turlu kolayligi sagliyorsun bizleri de düşünün ,"1",""
 hiçbir şey olmasa da kesin bir şeyler olmuş sand ıklar bir daha say ılmal ı turizm canlanmal ı ,"1",""
 pandemi en başta hizmet sektörünü çok ağ ır bir şekilde vurdu  ,"1",""
pamukkale turizm seferleri başl ıyor ,"0",""
 ilgili belediyelerin sosyal medya yönetimleri s ıf ır türkçe bilgileri zaten yok ha ,"1",""
 haziran avrupa da turizm için kurtuluş günü ,"2",""
 manavgat a golf sahas ı değil yat limani ve yat çekek ve imalati ihtisas edilmeli art ık,"1",""
alanya da turizm için kötü haber ,"1",""
son y ılda türkiye tarihinin ve dünyan ın en iyi ulaş ım başar ıs ına en iyi turizm başar ıs ına sahip olabiliriz,"2",""
 ktv de türkiye nin turizm geleceğini konuşuyoruz yoğun istek üzerine tekrar ı yay ınlan ıyor bence kaç ırmay ın ,"2",""
 imamoglu başkan seni listeye almam ışlar kültür ve turizm bakanl ığ ı ve tatil en çok sana yak ış ıyor   ,"2",""
kapadokya da ki aziz jean kilisesi çok şey anlat ıyor  ,"0",""
f ıjet başkan ı tijani haddad ile uluslararas ı turizm ve covid sohbetileri ,"0",""
 zumi için bu süreç bir şans doğa öko ve slow turizm gibi ,"2",""
nas ıl önemi yok ama lafla peynir gemisi yürüyebilecek mi maliyetlere etkisi ne olacak   ,"1",""
büyükşehir den turizm atağ ı ,"2",""
 turizm patlamas ı yaşanacak kesin şaka lan şaka ne patlamas ı yandaş firma restorasyon cukkas ı kald ıracak sadece ,"1",""
 haber kanallar ında plajlar oteller tüm ihtişam ıyla gösteriliyor ancak o ihtişam ı yaratanlar ın ne ad ın ı biliyorlar ne de emeğini,"1",""
havayolu ve turizm şirket hisseleri tavan yapt ı,"2",""
koronavirüs nedeniyle turizm sektörü s ık ınt ıl ı günler geçirse de yavaş yavaş normalleşme ad ımlar ı at ılmaya başland ı ,"2",""
ortamlarda eskort k ızlar ı doldurup grup seks yapan ama twitter da dinci rolü yapan siyasilerin varl ığ ından yeni haberdar olan insanlar ı görüyorum,"1",""
muhteşem erciyes ve turizm merkezi kayseri erciyesimizin bulutlarla dans ı ,"2",""
ulaşt ırma ve altyap ı bakan ı adil karaismailoğlu yeni tip koronavirüs kovid salg ın ı nedeniyle mart ay ında durdurulan uçak seferlerinin haziran da yeniden başlayacağ ın ı bildirdi   ,"0",""
 milli park ve tabiat park ı haziran da ziyarete aç ılacak  ,"0",""
 selamlar pazartesi plajlar halka aç ıl ıyorşu an bitez halk plaj ınday ım belediye olarak hiçbir haz ırl ık göremedim kumsal ot çöp pislik içindebir günde sihirli değnek mi varfotoğraf paylaşmaya utand ım ,"1",""
sektör temsilcilerinden turizm bakanl ığ ına turist bilgilendirme çağr ıs ı  ,"0",""
sertifikasyonlu turizm tesislerinde pandemiden uzak güvenli ortam sağlanacak dünyada ilk kez yap ılan bu sistem çerçevesinde konuklar ım ız ı ağ ırlay ıp salimen ülkelerine göndereceğiz bakan yard ımc ım ız ın röportaj ı ,"2",""
 haziran pazartesi günün den itibaren yunanistan vize başvurular ı izmir den kabul edilmeye başl ıyor seyahat tarihleri ağustos den sonras ı için planlanmal ı  ,"0",""
postcovid için kay ıplara değil f ırsatlara odaklanmak turizm in sadece gezmek görmek olmad ığ ı çok daha kapsaml ı bir ifadeyle ziyaretçi ekonomisi olduğu ve ekonomik sosyal kültürel hayat ım ızda derin izlerinin bulunduğu bilinci yerleşti sektörün bunu değerlendirmesi  laz ım,"0",""
türk hava yollar ı haziran da baz ı yurtd ış ı seferlerine yeniden başlayacak bu ülkelerden bir tanesi çin  ,"2",""
alanyali turizmciler sertifika için ne kadar ödeyecek  ,"0",""
turizm rus turistlerin tercihi yine türkiye rus tatilcilerin turizm ajans ın ın sitesinde bu ay yapt ıklar ı tatil aramalar ında yüzde lük payla türkiye aç ık ara birinci oldu ,"2",""
türkiye kald ığ ı yerden devam ediyor başar ıyla geride b ırak ılan pandemi sürecinden sonra turizm sektörü yeniden başl ıyor müze ve ören yerlerimiz sizleri bekliyor ,"2",""
vangölü güneyi dağlar ı doğa turizmine yönelik çok farkl ı alternatifler sunuyor demedi demeyin  ,"2",""
rusya dan turizmciyi sevindiren haber ,"2",""
tui temmuz a kadar yurt d ış ına turist götürmeyi erteledi,"1",""
yunanistan haziran da turizme aç ıl ıyor aç ıklanan ülkelik listede türkiye hariç tüm komşular için ülkeye giriş izni var ,"1",""
ruslar tatil plan ı yap ıyor türkiye aç ık ara birinci   ,"2",""
 gökçeada imroz merkez de haziran da aç ıl ıyor haftasonu turizm sezonu aç ıld ı ,"2",""
covid virüsü kaynakl ı salg ın ın şehrimizin turizmi üzerinde yaratt ığ ı olumsuzluklar ı minimize etmek ve bir yol haritas ı belirlemek üzere valimiz büyükşehir belediye başkan ım ız milletvekillerimiz ve elbette turizm temsilcilerimizle çok verimli bir toplant ı gerçekleştirdik ,"2",""
güzelliğine güzellik katacak elaz ığ  ın teşekkürler elaz ığ ,"2",""
covid sürecinden sonra türkiye sagl ık turizm konusunda ciddi ad ımlar atmal ı son dönemde büyük bir s ınav ı atlatt ık turizm gelirlerinin azalacağ ı dönemde çok ciddi bir katk ı sağlayabilir turist baş ı harcama ortalama seviyesinde sağl ık turizmi ile cok artabilir ,"2",""
 mavi bayrakta türkiye lideri ,"2",""
şifal ı sular ıyla ünlü zenginlerin uğrak yeri olan turizm köyü sat ıl ığa ç ıkar ıld ı,"0",""
yunanistan türk turist kabul etmiyormuş e gasp ettikleri ege adalar ına mültecileri yerleştirseler bari ,"1",""
istanbul un fethi nin y ıl ı kutlu aziz şehitlerimizin mekan ı cennet olsun ,"2",""
yap ılan araşt ırmalara göre rus turistlerin yüzde  ı türkiye de tatil yapmay ı planl ıyor  ,"0",""
yunanistan dan h ızl ı turizm hamlesi yunanistan haziran dan itibaren ülkeden turist kabul edeceğini aç ıklad ı liste temmuzda yenilenecekmiş aç ıklanan ülkeler aras ında ise komşu türkiye yer alm ıyor neden ,"1",""
rusya dan rus turiste türkiye yolunu açan aç ıklama antalya ses gazetesi   ,"2",""
turizm sonunda aç ıl ıyor mutluyum mutlu olun turizm,"2",""
mardin de türbinli rüzgar santrali kurulacak,"0",""
say ın bakan albayrak yeni eko pakette turizm destek aç ıklamas ı var turizm için özel krediler aç ıklanacak vatandaşa ,"2",""
trip com grubu y ıl ın ın ilk üç ay ına ait finansal verileri bas ınla paylaşt ı,"0",""
türkiye büyük f ırsatlar ı kaç ır ıyor gibi geliyor bu aralar maske sat ış ına k ıs ıtlama koyulmuş büyük ticari gelir kaç ır ılm ışt ır tr tekstil sektörü içeri ve d ışar ıy ı besleyecek kapasitededir turizm konusunda da hala öncelik verilecek ülkeler aç ıklanmad ı ölüm ve vaka say ılar ı,"1",""
bir kad ına sald ırm ışlard ı mahalleli tedirgin sokak köpekleri dehşet saç ıyor buras ı yenişehir palmiye ve lifa siteleri civar ı ,"1",""
turizmde yaşanan daralman ın önüne geçmek için alternatif pazar kanallar ı yarat ılmal ı,"0",""
mahalle sakinlerinden belediyeye ve doğalgaz firmas ına doğalgaz tepkisi,"1",""
turizm sezonu aç ıl ış belirsizliği türk turizminini vurabilir dogrusu ,"1",""
bodrum modern otogar ına kavuşuyor,"2",""
bugün çok mutlu olmal ıy ız çünkü güvercin adam ız ın kalesi unesco dünya miras ı geçici listesinde ,"2",""
bu sezon dan umudunu kesen tek ben miyim  ,"1",""
tarihi ankara kalesi sokaklari hayat bulacak ,"2",""
görünmeyen inciralt ı ndan turizm bakan ına davet var ,"0",""
easyjet dün yapt ığ ı bas ın aç ıklamas ında covid krizi nedeniyle düşen talep neticesinde maliyet önlemi olarak mevcut filosunda ve işgücünde tasarrufa gideceğini duyurdu ,"1",""
alanya turistik işletmeciler derneği başkan ı burhan sili sağl ık ve hijyen standartlar ı misafirlerimizin tatil seçiminde eskisinden daha fazla önem taş ıyacak dedi ,"2",""
katid otellere hijyen eğitimi verecek,"0",""
turizm i açal ım en az ından yerli turist gelsin diyoruzda kimin tatil için maddi manevi gücü kald ı yerli aş ı ve ilaç bulma işine yüklenelim şimdilik mesafe maske musluk tek çözüm aş ı ,"1",""
baraj gölündeki minareye kay ıkla ulaş ıyorlar,"0",""
avrupa birligi sene sonuna kadar ulke ab ulkeleri disinda diger ulkelere cikisi yasakladi avrupadan turist bekleyen isletmeler bu sene iflasin esigindeler avrupa ulkeleri turizm gelirlerini bu yasakla tedavi edicek,"1",""
ilk sağl ıkl ı turizm belgesi antalya ya verildi ,"2",""
matt hancock ingilizlerin yurt d ış ına tatile gidebileceklerini duyurdu şimdi türkiye yunanistan italya ispanya turist kapma savaşlar ı başlayacak elini çabuk tutan kazan ır  ,"0",""
en çok turistin geldiği ülkeleri gösteren harita turkiye  ,"2",""
turizm esnaf ıy ım vergi af ı bekliyorum hacizlerin kald ır ılmas ı bize nefes ald ır ır boğuluyoruzz,"1",""
fitness salonlar ı haziran dan itibaren sosyal mesafe ve triaj kurallar ına uygun olarak aç ılacak öncelikli olarak ağ ırl ık malzemeleri ard ından aerobik bölümü hizmete aç ılacak,"0",""
turizm işçileri yunanistan da ayaklanm ış turizm bu sene kay ıp ,"1",""
çeşme otelcileri türob a üye oldu,"0",""
 şehirleraras ı seyahatlerde dilekçe gerekmiyecek aç ık havada temas gerektirmeyen spor yar ışmalar ı seyircisiz yap ılacak,"0",""
türkiye ve dünya turizmi hakk ında kilit bilgiler içeren güzel bir yaz ı olmuş ,"2",""
gurur duyduğumuz bir güncellemeyi sizlerle paylaşmak isterim turizm iyileşeceğiz,"2",""
cumhurbaşkan ı recep tayyip erdoğan kabine toplant ıs ı sonras ı yapt ığ ı aç ıklamayla ilde uygulanan şehirleraras ı seyahat yasağ ın ın haziran itibariyle kald ır ılacağ ın ı duyurdu,"2",""
avrupa n ın en büyük tur operatörlerinden tui nin britanya kolu tui uk tatil operasyonlar ın ı temmuz a kadar ertelediğini ve haziran a kadar tüm rezervasyonlar ı iptal ettiğini duyurdu,"1",""
turizm tuzu kuru olanlarda hep ayn ı laf aman normalleşelim turizm e bir şey olmas ın diye dalga geçiyorlar ama biz turizmciler ayd ır çal ışm ıyoruz yani cebimize kuruş girmiyor,"1",""
gökyüzünden mardine yükseliyoruz ,"2",""
konyaalt ı sahilinde sosyal mesafeli tatil düzenlemesi ,"0",""
kültür ve turizm bakan ı ersoy otellerin yüzde sini açabilirsek iyi olacağ ın ı düşünüyorum  ,"2",""
urfa erkeği milattan önce neyse milattan sonra da odur uzan ıp ense yapmak ruhumuzda var ,"0",""
şehirleraras ı seyahat s ın ırlamas ı kald ır ıl ıyor ,"2",""
cumhurbaşkan ı erdoğan plajlar milli parklar ve bahçeler belirlenen kurallar dahilinde hazarin itibariyle faaliyet geçecek ,"2",""
van ın kimliği turizm olsun yüzlerce turistik mekan ım ız var bir yerden başlayal ım    samimiyetinizi gösterin ,"2",""
türk hava yollar ı bugün kamuoyu ayd ınlatma platformu na gönderdiği aç ıklamayla y ıl ın ın birinci çeyreğine ait finansal verilerini paylaşt ı,"0",""
turizm tedbirleri alinmis goruntu yildizli otel robotlu falan yani tatil virutik nedenlerle de yine zengine k ısmet o tedbirleri kucuk isletme nasil alsin ,"1",""
 gastronomi başkenti gaziantep ,"0",""
 belgeli tesisler ön plana ç ıkacak ,"0",""
expedia group bugün yapt ığ ı aç ıklamayla iş ortaklar ına yard ımc ı olmak için milyon dolar l ık bir kaynak ay ırd ığ ın ı duyurdu paketin milyon dolarl ık k ısm ı otelciler için ayr ıld ı,"0",""
sondakika ukrayna ya uluslararas ı uçuşlar yeniden başl ıyor,"0",""
işte k ız ıltepe de cuma namaz ı k ıl ınabilecek cami ve mekan bilgileri   ,"0",""
otobüslerde ve trenlerde sosyal mesafe var uçaklarda yok ,"1",""
son dakika bakan aç ıklad ı haziran da başl ıyor,"0",""
geçtiğimiz günlerde milyon müşterinin bilgilerinin bir siber sald ır ıyla usulsüz olarak ele geçirildiğini duyuran easyjet verileri çal ınan müşteriler taraf ından dava ediliyor ,"1",""
gazipaşa yaz sezonuna haz ırlan ıyor,"0",""
bildiğiniz bütün kutu oyunlar ın ı unutun çok yak ında biz geliyoruz,"2",""
uçak kazalar ıyla gündeme gelen boeing max  ın üretimi yeniden başlad ı  ,"2",""
salg ın süresinde nefes ald ıracak ekoturizm rotas ı  ,"2",""
turizmciler yeni tip koronavirüs kovid normalleşme süreci kapsam ında aç ılacak turizm sezonunda misafirlerini ağ ırlamay ı bekliyor ,"0",""
 tüm dünyan ın gözü antalya da olacakt ı f ırsat kaçt ı  ,"1",""
karar ı için türkiye deki koşullara bakacağ ız ,"0",""
antalya da kapal ı olan oteller sezonuna haz ır  ,"2",""
 verilerinin yer ald ığ ı dünya turizm örgütü unwto may ıs barometresi aç ıklad ı ,"0",""
antalya da sosyal mesafeli plaj uygulamas ı başl ıyor,"0",""
haziran da yelken açacaklar ,"0",""
almanya seyahat yasağ ın ı tekrar gözden geçirecek,"2",""
gyo lar ve turizm hareketli olur mu bugün acaba ,"0",""
yasaklar her zaman zararl ıd ır burnumuzun dibindeki adalar ı göremeyenler var kald ıki ülkemiz yunanl ılara göre çok ucuz çok rahats ız olsamda ticaret hareketliliği olur lehimize  ,"2",""
ispanya da temmuz dan itibaren yurt d ış ından gelen turistlere günlük karantina uygulanmayacak,"2",""
